TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ZNF527,GSM2466580,262,Single,1,0.9073624595469255,0.9110032362459548,0.003640776699029291,0.6875
ZNF528,GSM2026811,157,MTL,6,0.9236875555555556,0.930136,0.006448444444444368,0.8336215842269111
ZNF529,GSM2466582,276,Single,1,0.8870076552660823,0.871542783059637,-0.015464872206445324,0.6744186046511628
ZNF530,GSM5213903,205,Single,1,0.974408655687476,0.9746657730116176,0.00025711732414157584,0.8953068592057761
ZNF532,GSM2543140,627,Single,1,1.0,1.0,0.0,0.0
ZNF534,GSM2466584,157,MTL,6,0.9838528888888889,0.9869072222222222,0.00305433333333327,0.9462830533843339
ZNF540,GSM2466585,271,MTL,2,0.8783499164790473,0.9209092889824968,0.042559372503449544,0.6804123711340206
ZNF544,GSM2797684,219,Single,1,0.9544434444444443,0.9570735555555556,0.002630111111111333,0.8691703056768559
ZNF546,GSM3402711,273,Single,1,0.9464698721850274,0.8994623655913978,-0.04700750659362962,0.632258064516129
ZNF547,GSM5215496,203,MTL,4,0.9753008888888891,0.979366222222222,0.004065333333332921,0.9107787519339866
ZNF548,GSM5214148,203,MTL,4,0.971809111111111,0.9761990555555556,0.004389944444444627,0.9099864130434783
ZNF549,GSM5215051,213,Single,1,0.9629111104366067,0.9607189711109764,-0.002192139325630338,0.8261120739456961
ZNF550,GSM5215298,226,Single,1,0.9621107222222223,0.9623568333333334,0.0002461111111111691,0.8898929049531459
ZNF551,GSM5374463,206,Single,1,0.8763571144973372,0.8650360756287565,-0.011321038868580713,0.5480093676814989
ZNF552,GSM2466592,198,MTL,4,0.9499158249158249,0.9565656565656566,0.006649831649831683,0.7407407407407407
ZNF554,GSM2026822,224,Single,1,0.9603853888888889,0.9616289444444444,0.0012435555555554423,0.8896516217607688
ZNF556,GSM5215682,188,Single,1,0.9632597777777778,0.9630533333333332,-0.00020644444444462007,0.8938830686042581
ZNF557,GSM5214760,189,MTL,2,0.9642568333333332,0.9662171111111112,0.0019602777777779634,0.8988164694115686
ZNF558,GSM2423492,189,MTL,2,0.8897618333333333,0.8914374999999999,0.0016756666666666309,0.8086838534599728
ZNF560,GSM2827456,176,Single,1,0.9714321959755031,0.9732300962379702,0.001797900262467067,0.8152173913043478
ZNF561,GSM2466596,177,MTL,2,0.9697528789293495,0.9743492063492064,0.004596327419856938,0.8509212730318257
ZNF562,GSM2466597,177,MTL,2,0.9356543456543457,0.9543756243756244,0.01872127872127871,0.8472906403940886
